latitude,longitude,time_bp,,
-31.39471,138.85616,-1600,,
-31.39471,138.85616,-961,,
-31.35,138.55,-7720,,
-31.35,138.55,-7400,,
-31.35,138.55,-7310,,
-31.35,138.55,-6930,,
-31.35,138.55,-6920,,
-31.35,138.55,-6880,,
-31.35,138.55,-6800,,
-31.35,138.55,-6710,,
-31.35,138.55,-6650,,
-31.35,138.55,-6610,,
-31.35,138.55,-6580,,
-31.35,138.55,-6520,,
-31.35,138.55,-6290,,
-31.35,138.55,-5790,,
-31.35,138.55,-5690,,
-31.35,138.55,-5020,,
-31.35,138.55,-3790,,
-31.35,138.55,-3690,,
-31.35,138.55,-3640,,
-31.35,138.55,-3570,,
-31.35,138.55,-2950,,
-31.35,138.55,-2430,,
-31.16666667,142.6,-2680,,
-31.16666667,142.6,-1840,,
-31.16666667,142.6,-530,,
-31.16666667,142.6,-510,,
-31.16666667,142.6,-420,,
-31.16666667,142.6,-310,,
-31.16666667,142.6,-280,,
-31.16666667,142.6,-270,,
-31.16666667,142.6,-220,,
-31.06666667,142.5666667,-6520,,
-31.06666667,142.5666667,-6470,,
-31.06666667,142.5666667,-6360,,
-31.06666667,142.5666667,-6360,,
-31.06666667,142.5666667,-5710,,
-31.06666667,142.5666667,-5340,,
-31.06666667,142.5666667,-5240,,
-31.06666667,142.5666667,-3430,,
-31.06666667,142.5666667,-3040,,
-31.06666667,142.5666667,-2960,,
-31.06666667,142.5666667,-1380,,
-31.06666667,142.5666667,-1300,,
-31.06666667,142.5666667,-1000,,
-31.06666667,142.5666667,-460,,
-30.96666667,139.3333333,-10900,,
-30.96666667,139.3333333,-10870,,
-30.96666667,139.3333333,-10630,,
-30.96666667,139.3333333,-9420,,
-30.96666667,139.3333333,-9060,,
-30.96666667,139.3333333,-7260,,
-30.96666667,139.3333333,-5340,,
-30.96666667,139.3333333,-1280,,
-30.96666667,139.3333333,-590,,
-30.96666667,139.3333333,-470,,
-30.96666667,139.3333333,-410,,
-30.96666667,139.3333333,-385,,
-30.96666667,139.3333333,-230,,
-30.86666667,142.6,-780,,
-30.86666667,142.6,-380,,
-30.5,119.6666667,-1480,,
-30.5,119.6666667,-340,,
-30.33333333,139.3333333,-11950,,
-30.33333333,139.3333333,-10870,,
-30.33333333,139.3333333,-10850,,
-30.33333333,139.3333333,-10550,,
-30.33333333,139.3333333,-9473,,
-30.33333333,139.3333333,-8820,,
-30.33333333,139.3333333,-7200,,
-30.33333333,139.3333333,-6472,,
-30.33333333,139.3333333,-6380,,
-30.33333333,139.3333333,-5540,,
-30.33333333,139.3333333,-1920,,
-30.33333333,139.3333333,-1300,,
-30.33333333,139.3333333,-1000,,
-30.33333333,139.3333333,-630,,
-30.32888889,123.2672222,-590,,
-30.32888889,123.2672222,-530,,
-30.32888889,123.2672222,-410,,
-30.32888889,123.2672222,-340,,
-30.32888889,123.2672222,-80,,
-30.06666667,142.5666667,-4350,,
-30.06666667,142.5666667,-3670,,
-30.06666667,142.5666667,-2430,,
-30.06666667,142.5666667,-880,,
-30.06666667,142.5666667,-880,,
-30.06666667,142.5666667,-770,,
-30.06666667,142.5666667,-620,,
-30.06666667,142.5666667,-590,,
-30.06666667,142.5666667,-560,,
-30.06666667,142.5666667,-470,,
-30.06666667,142.5666667,-450,,
-30.06666667,142.5666667,-100,,
-28.41972222,122.9769444,-1950,,
-28.41972222,122.9769444,-20,,
-27.88555556,134.3172222,-1820,,
-27.88555556,134.3172222,-1610,,
-27.88555556,134.3172222,-1540,,
-27.88555556,134.3172222,-1530,,
-27.88555556,134.3172222,-1430,,
-27.88555556,134.3172222,-1130,,
-27.88555556,134.3172222,-1120,,
-27.88555556,134.3172222,-940,,
-27.88555556,134.3172222,-700,,
-27.88555556,134.3172222,-510,,
-26.95305556,133.4986111,-430,,
-26.15833333,127.9133333,-3430,,
-25.83,134.1983333,-3450,,
-25.83,134.1983333,-3350,,
-25.83,134.1983333,-3330,,
-25.83,134.1983333,-3310,,
-25.83,134.1983333,-2380,,
-25.83,134.1983333,-2330,,
-25.83,134.1983333,-2280,,
-25.83,134.1983333,-1720,,
-25.83,134.1983333,-1470,,
-25.83,134.1983333,-1310,,
-25.83,134.1983333,-1150,,
-25.83,134.1983333,-1140,,
-25.83,134.1983333,-610,,
-25.83,134.1983333,-510,,
-25.83,134.1983333,-410,,
-25.83,134.1983333,-360,,
-25.83,134.1983333,-360,,
-25.83,134.1983333,-310,,
-25.83,134.1983333,-300,,
-25.83,134.1983333,-250,,
-25.83,134.1983333,-200,,
-25.83,134.1983333,-170,,
-25.83,134.1983333,-101,,
-25.83,134.1983333,-100,,
-25.83,134.1983333,-80,,
-25.05,124.9833333,-1150,,
-25.05,124.9833333,-900,,
-25.05,124.9833333,-900,,
-25.05,124.9833333,-800,,
-25.05,124.9833333,-710,,
-25.05,124.9833333,-300,,
-24.43333333,132.2,-3090,,
-24.43333333,132.2,-988,,
-24.43333333,132.2,-756,,
-24.43333333,132.2,-552,,
-24.43333333,132.2,-360,,
-24.31666667,131.6833333,-3500,,
-24.31666667,131.6833333,-1700,,
-24,133,-2780,,
-24,133,-1660,,
-23.5,134.5,-2400,,
-23.45,134.7,-2500,,
-23.45,134.7,-835,,
-23.45,134.7,-606,,
-23.45,134.7,-433,,
-23.45,134.7,-100,,
-23.45,134.7,-100,,
-22.946433,118.864421,-31430,,
-22.946433,118.864421,-19630,, 
-22.946433,118.864421,-16870,,
-22.946433,118.864421,-15900,,
-22.946433,118.864421,-13525,,
-22.946433,118.864421,-12495,,
-22.946433,118.864421,-12460,,
-22.946433,118.864421,-12145,,
-22.946433,118.864421,-10760,,
-22.946433,118.864421,-10405,,
-22.946433,118.864421,-10375,,
-22.946433,118.864421,-9720,,
-22.946433,118.864421,-9680,,
-22.946433,118.864421,-7035,,
-22.946433,118.864421,-6890,,
-22.946433,118.864421,-6845,,
-22.946433,118.864421,-6770,,
-22.946433,118.864421,-5395,,
-22.946433,118.864421,-5120,,
-22.946433,118.864421,-3495,,
-22.946433,118.864421,-3230,,
-22.946433,118.864421,-2960,,
-22.946433,118.864421,-2840,,
-22.946433,118.864421,-2810,,
-22.946433,118.864421,-2445,,
-22.946433,118.864421,-2225,,
-22.946433,118.864421,-2080,,
-22.946433,118.864421,-1660,,
-22.946433,118.864421,-865,,
-24.269829,118.966005,-810,,
-24.269829,118.966005,-670,,
-24.269829,118.966005,-810,,
-24.269829,118.966005,-1880,,
-24.269829,118.966005,-1880,,
-24.269829,118.966005,-1840,,
-24.269829,118.966005,-1760,,
-24.269829,118.966005,-1930,,
-24.269829,118.966005,-1850,,
-24.269829,118.966005,-1710,,
-24.269829,118.966005,-1590,,
-24.269829,118.966005,-1600,,
-24.269829,118.966005,-610,,
